Iteration,Throughput,Optimum,Runtime
0,4898.0,4898.0,0
1,3136.0,4898.0,0
2,8766.0,8766.0,0
3,1215.0,8766.0,0
4,5249.0,8766.0,0
5,4141.0,8766.0,0
6,9863.0,9863.0,0
7,7506.0,9863.0,0
8,4799.0,9863.0,0
9,9571.0,9863.0,0
10,1248.0,9863.0,0
11,3611.0,9863.0,0
12,5935.0,9863.0,0
13,5414.0,9863.0,0
14,7350.0,9863.0,0
15,7471.0,9863.0,0
16,3197.0,9863.0,0
17,2596.0,9863.0,0
18,3227.0,9863.0,0
19,4555.0,9863.0,0
20,8146.0,9863.0,0
21,7900.0,9863.0,0
22,7322.0,9863.0,0
23,9750.0,9863.0,0
24,4807.0,9863.0,0
25,1469.0,9863.0,0
26,3672.0,9863.0,0
27,9876.0,9876.0,0
28,4459.0,9876.0,0
29,5668.0,9876.0,0
30,2039.0,9876.0,0
31,8921.0,9876.0,0
32,6637.0,9876.0,0
33,6963.0,9876.0,0
34,2115.0,9876.0,0
35,1703.0,9876.0,0
36,3945.0,9876.0,0
37,4761.0,9876.0,0
38,8442.0,9876.0,0
39,1494.0,9876.0,0
40,4424.0,9876.0,0
41,5807.0,9876.0,0
42,4082.0,9876.0,0
43,3468.0,9876.0,0
44,3713.0,9876.0,0
45,1582.0,9876.0,0
46,7674.0,9876.0,0
47,4872.0,9876.0,0
48,2081.0,9876.0,0
49,4401.0,9876.0,0
50,7316.0,9876.0,0
51,8067.0,9876.0,0
52,6554.0,9876.0,0
53,7404.0,9876.0,0
54,3107.0,9876.0,0
55,6632.0,9876.0,0
56,3019.0,9876.0,0
57,7483.0,9876.0,0
58,3018.0,9876.0,0
59,4182.0,9876.0,0
60,6281.0,9876.0,0
61,9640.0,9876.0,0
62,7447.0,9876.0,0
63,2849.0,9876.0,0
64,2625.0,9876.0,0
65,6086.0,9876.0,0
66,6530.0,9876.0,0
67,4132.0,9876.0,0
68,2096.0,9876.0,0
69,4384.0,9876.0,0
70,2592.0,9876.0,0
71,6930.0,9876.0,0
72,1667.0,9876.0,0
73,6896.0,9876.0,0
74,1861.0,9876.0,0
75,1364.0,9876.0,0
76,7581.0,9876.0,0
77,4948.0,9876.0,0
78,5435.0,9876.0,0
79,4022.0,9876.0,0
80,5026.0,9876.0,0
81,6833.0,9876.0,0
82,7397.0,9876.0,0
83,7154.0,9876.0,0
84,3352.0,9876.0,0
85,1371.0,9876.0,0
86,8649.0,9876.0,0
87,6402.0,9876.0,0
88,4458.0,9876.0,0
89,1906.0,9876.0,0
90,7213.0,9876.0,0
91,9981.0,9981.0,0
92,9664.0,9981.0,0
93,3642.0,9981.0,0
94,2446.0,9981.0,0
95,9378.0,9981.0,0
96,2774.0,9981.0,0
97,6174.0,9981.0,0
98,9712.0,9981.0,0
99,3201.0,9981.0,0
100,9477.0,9981.0,0
